Clinton,Trump,States,Votes
0.000,1.000,Alabama,9
0.235,0.764,Alaska,3
0.334,0.666,Arizona,11
0.004,0.996,Arkansas,6
1.0,0.0,California,55
0.775,0.224,Colorado,9
0.973,0.027,Connecticut,7
0.915,0.085,Delaware,3
1.000,0.000,District of Columbia,3
0.551,0.449,Florida,29
0.209,0.791,Georgia,16
0.989,0.011,Hawaii,4
0.009,0.990,Idaho,4
0.983,0.017,Illinois,20
0.025,0.975,Indiana,11
0.302,0.698,Iowa,6
0.027,0.973,Kansas,6
0.004,0.996,Kentucky,8
0.005,0.995,Louisiana,8
1.000,0.000,Maine,4
1.000,0.000,Maryland,10
1.000,0.000,Massachusetts,11
0.789,0.211,Michigan,16
0.850,0.150,Minnesota,10
0.022,0.978,Mississippi,6
0.039,0.961,Missouri,10
0.041,0.959,Montana,3
0.023,0.977,Nebraska,5
0.583,0.417,Nevada,6
0.698,0.302,New Hampshire,4
0.969,0.031,New Jersey,14
0.826,0.172,New Mexico,5
0.998,0.002,New York,29
0.555,0.445,North Carolina,15
0.023,0.977,North Dakota,3
0.354,0.646,Ohio,18
0.000,1.000,Oklahoma,7
0.937,0.063,Oregon,7
0.770,0.230,Pennsylvania,20
0.932,0.068,Rhode Island,4
0.103,0.897,South Carolina,9
0.061,0.939,South Dakota,3
0.027,0.973,Tennessee,11
0.060,0.940,Texas,38
0.033,0.832,Utah,6
0.981,0.019,Vermont,3
0.855,0.145,Virginia,13
0.984,0.016,Washington,12
0.003,0.997,West Virginia,5
0.835,0.165,Wisconsin,10
0.011,0.989,Wyoming,3
